OTU;Size;regnum;phylum;classis;ordo;familia;genus;RT1;RB1;LT1;LB1;VAG1;BLANK1;CTR1;BLANK2;RT2;RB2;LT2;LB2;VAG2;CTR2;RT3;RB3;LT3;LB3;VAG3;CTR3;BLANK3;RT4;RB4;LT4;LB4;VAG4;RT5;RB5;LT5;LB5;VAG5
Otu0096;511;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005;0;0;0;0;11;0;0;0;0;0;0;0;0;1;0;0;0;0;131;1;0;0;0;0;0;257;0;0;0;25;85
Otu0097;511;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;510;0;0;1;0;0
Otu0098;509;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Comamonas;0;0;0;0;0;0;444;0;0;0;0;0;34;25;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
Otu0099;508;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;0;0;0;0;0;0;508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0100;503;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadales_fa;Saccharimonadales_ge;0;0;0;0;0;0;0;503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0102;502;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;0;0;0;0;0;0;501;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0103;499;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;0;0;0;0;0;0;499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0104;492;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;1;0;0;0;0;0;0;0;0;12;203;0;1;0;0;188;0;0;0;25;0;1;1;0;0;59;0;0;1;0
Otu0105;481;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;1;471;0;0;0;0;0;0;5;0;0;0
Otu0106;479;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;466;0;0;0;0;0;0;0;0;0;0
